year,doy,plot,avg_ndvi,time
2017,212,F10,0.746898336,drop
2017,234,F10,0.665551863,drop
2018,180,CT,0.59293776,drop
2018,202,CT,0.713086919,drop
2018,211,CT,0.742951801,drop
2018,180,F2,0.6552938,drop
2018,202,F2,0.751150414,drop
2018,180,F5,0.623256981,drop
2018,202,F5,0.743730938,drop
2018,180,F10,0.595138202,drop
2018,202,F10,0.764306329,drop
2011,166,CT,0.556208359,initial
2011,166,F2,0.657218845,initial
2011,166,F5,0.607249656,initial
2011,166,F10,0.585689291,initial
2011,172,CT,0.594589888,drop
2011,172,F10,0.687428754,drop
2011,179,CT,0.617816699,drop
2011,179,F2,0.719143569,drop
2011,179,F5,0.71207801,drop
2011,179,F10,0.719373163,drop
2011,183,CT,0.674808946,half
2011,183,F2,0.758407121,peak
2011,183,F5,0.742720899,half
2011,183,F10,0.738641027,half
2011,188,CT,0.659637246,drop
2011,188,F2,0.761923918,drop
2011,188,F5,0.760198227,drop
2011,188,F10,0.776436111,drop
2011,196,CT,0.677967827,drop
2011,196,F10,0.788457551,drop
2011,199,CT,0.711307825,peak
2011,199,F2,0.749423036,drop
2011,199,F5,0.767784844,drop
2011,199,F10,0.815366704,peak
2011,201,CT,0.701301699,drop
2011,201,F2,0.786508993,peak
2011,201,F5,0.773175165,peak
2011,201,F10,0.7823562,drop
2011,214,CT,0.668127888,drop
2011,214,F2,0.755100547,drop
2011,214,F5,0.747810111,drop
2011,214,F10,0.761177303,drop
2011,217,CT,0.671879642,post-peak
2011,217,F2,0.75530373,post-peak
2011,217,F5,0.761188808,post-peak
2011,217,F10,0.719415363,post-peak
