X,Y,RowID,CrimeDateTime,CrimeCode,Location,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,District,Neighborhood,Latitude,Longitude,GeoLocation,Premise,VRIName,Total_Incidents
-76.6369,39.2793,9968,2022/07/04 19:52:00+00,5F,1400 WASHINGTON BLVD,BURGLARY,,,935,M,42,,,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,39.2793,-76.6369,"(39.2793,-76.6369)",,,1
-76.5839,39.2829,10368,2022/07/30 00:41:00+00,5B,2300 BOSTON ST,BURGLARY,,,214,,,,,SOUTHEAST,CANTON,39.2829,-76.5839,"(39.2829,-76.5839)",,,1
-76.6584999999999,39.3381000000001,10375,2022/07/30 13:30:00+00,5A,2400 LOYOLA SOUTHWAY,BURGLARY,,,533,F,31,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,GREENSPRING,39.3381,-76.6585,"(39.3381,-76.6585)",,,1
-76.5685999999999,39.2811,10419,2022/07/30 02:56:00+00,5A,1000 S HIGHLAND AVE,BURGLARY,,,214,F,24,WHITE,,SOUTHEAST,CANTON,39.2811,-76.5686,"(39.2811,-76.5686)",,,1
-76.5844,39.2867000000001,10432,2022/07/30 02:30:00+00,5A,400 S PATTERSON PARK AVE,BURGLARY,,,212,M,59,WHITE,UNKNOWN,SOUTHEAST,UPPER FELLS POINT,39.2867,-76.5844,"(39.2867,-76.5844)",,,1
-76.6154,39.2944000000001,10512,2022/07/30 08:00:00+00,5A,400 N CHARLES ST,BURGLARY,,,114,M,28,WHITE,,CENTRAL,DOWNTOWN,39.2944,-76.6154,"(39.2944,-76.6154)",,,1
-76.6412,39.3034000000001,10515,2022/07/30 19:45:00+00,5A,1300 WHATCOAT ST,BURGLARY,,,724,F,22,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,SANDTOWN-WINCHESTER,39.3034,-76.6412,"(39.3034,-76.6412)",,Central,1
-76.6752,39.3698000000001,10590,2022/07/29 21:20:00+00,5A,6200 GREEN MEADOW PKWY,BURGLARY,,,632,F,35,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,NORTHWEST,CHESWOLDE,39.3698,-76.6752,"(39.3698,-76.6752)",,,1
-76.6836,39.2676000000001,10593,2022/07/29 12:34:00+00,5F,3800 SOUTHWESTERN BLVD,BURGLARY,,,832,,,,,SOUTHWEST,VIOLETVILLE,39.2676,-76.6836,"(39.2676,-76.6836)",,,1
-76.6147999999999,39.3101,10594,2022/07/29 00:01:00+00,5F,1800 SAINT PAUL ST,BURGLARY,,PERSONAL_WEAPONS,134,F,18,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,GREENMOUNT WEST,39.3101,-76.6148,"(39.3101,-76.6148)",,,1
-76.5824,39.282,10793,2022/07/29 19:30:00+00,5B,2400 BOSTON ST,BURGLARY,,,214,,,,,SOUTHEAST,CANTON,39.282,-76.5824,"(39.282,-76.5824)",,,1
-76.6312,39.3052000000001,10804,2022/07/29 15:40:00+00,5A,1600 MCCULLOH ST,BURGLARY,,,123,,,,,CENTRAL,UPTON,39.3052,-76.6312,"(39.3052,-76.6312)",,,1
-76.5957999999999,39.2945,11029,2022/07/29 17:30:00+00,5A,1600 MULLIKIN CT,BURGLARY,,,212,F,28,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,SOUTHEAST,DUNBAR-BROADWAY,39.2945,-76.5958,"(39.2945,-76.5958)",,,1
-76.5833,39.3048000000001,11030,2022/07/29 18:20:00+00,5F,2400 E BIDDLE ST,BURGLARY,,,331,M,59,,,EASTERN,BROADWAY EAST,39.3048,-76.5833,"(39.3048,-76.5833)",,Eastern 2,1
-76.6362999999999,39.3169,11082,2022/07/28 17:25:00+00,5B,900 DRUID PARK LAKE DR,BURGLARY,,,531,M,41,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,RESERVOIR HILL,39.3169,-76.6363,"(39.3169,-76.6363)",,,1
-76.6147,39.318,11146,2022/07/28 19:00:00+00,5B,100 E 25TH ST,BURGLARY,,,512,,,,,NORTHERN,CHARLES VILLAGE,39.318,-76.6147,"(39.318,-76.6147)",,,1
-76.6460999999999,39.289,11321,2022/07/28 14:00:00+00,5A,1800 W FAIRMOUNT AVE,BURGLARY,,,711,M,34,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,WESTERN,FRANKLIN SQUARE,39.289,-76.6461,"(39.289,-76.6461)",,,1
-76.6152,39.3155,11324,2022/07/28 19:30:00+00,5F,2300 ST PAUL ST,BURGLARY,,,514,F,28,BLACK_OR_AFRICAN_AMERICAN,,NORTHERN,BARCLAY,39.3155,-76.6152,"(39.3155,-76.6152)",,,1
-76.6708,39.3463,11333,2022/07/28 17:00:00+00,5A,4800 PALMER AVE,BURGLARY,,,614,,,,,NORTHWEST,CENTRAL PARK HEIGHTS,39.3463,-76.6708,"(39.3463,-76.6708)",,,1
-76.5887,39.2969000000001,11340,2022/07/28 20:30:00+00,5F,500 N CASTLE ST,BURGLARY,,,321,,,,,EASTERN,CARE,39.2969,-76.5887,"(39.2969,-76.5887)",,,1
