"","x"
"1","Bet nan"
"2","Car big"
"3","Emp nig"
"4","Eri vag"
"5","Led pal"
"6","lichen"
"7","moss"
"8","Ped sp."
"9","Pol bis"
"10","Rub cha"
"11","Vac uli"
"12","Vac vit"
"13","Sal pul"
"14","Arc alp"
"15","Cas tet"
"16","Pet sp."
"17","Arc lat"
