"","x"
"1","Arc alp"
"2","Arc lat"
"3","Bet nan"
"4","Car big"
"5","Eri vag"
"6","Led pal"
"7","lichen"
"8","moss"
"9","Ped sp."
"10","Rub cha"
"11","Sal pul"
"12","Vac vit"
"13","Pol bis"
"14","Emp nig"
"15","Vac uli"
"16","Cas tet"
"17","Pet sp."
