"","x"
"1","And pol"
"2","Arc alp"
"3","Bet nan"
"4","Car big"
"5","Cas tet"
"6","Emp nig"
"7","Eri vag"
"8","Led pal"
"9","lichen"
"10","moss"
"11","Ped sp."
"12","Pet sp."
"13","Pol bis"
"14","Rub cha"
"15","Sal pul"
"16","Sal ret"
"17","Vac uli"
"18","Vac vit"
