"","d_sub2","plot","clip","avg_t_ht3","sd","n","se"
"1",1,"CT","CT",13.9233333333333,1.90453625151461,3,1.09958451749336
"2",1,"CT","PR",6.48611111111111,0.315054375083507,3,0.181896728263832
"3",1,"CT","PU",6.49722222222222,0.117062819476142,3,0.0675862503366469
"4",1,"F10","CT",19.4083333333333,3.01635587717659,3,1.74149387765962
"5",1,"F10","PR",8.17777777777778,1.05837707696125,3,0.611054290287706
"6",1,"F10","PU",9.16944444444444,1.04921708024673,3,0.605765763718805
"7",1,"F2","CT",15.2333333333333,0.530330085889911,2,0.375
"8",1,"F2","PR",6.99416666666667,0.85206367132979,2,0.6025
"9",1,"F2","PU",6.23333333333333,0.259272486435067,2,0.183333333333333
"10",1,"F5","CT",17.4055555555556,3.34608325481422,3,1.93186206789789
"11",1,"F5","PR",8.10555555555555,1.86082294618189,3,1.07434662889234
"12",1,"F5","PU",9.03888888888889,1.04921708024673,3,0.605765763718805
"13",2,"CT","CT",14.3611111111111,1.6706688059754,3,0.964561084856606
"14",2,"CT","PR",8.225,1.1108367716876,3,0.641341909159572
"15",2,"CT","PU",8.02777777777778,0.438537130485908,3,0.253189530335685
"16",2,"F10","CT",21.51,3.27905092976611,3,1.89316093698696
"17",2,"F10","PR",10.5872222222222,1.55205628238917,3,0.896080112434839
"18",2,"F10","PU",10.9605555555556,0.895839664060319,3,0.517213271195969
"19",2,"F2","CT",17.1824074074074,0.557609628631346,3,0.321936069193035
"20",2,"F2","PR",8.72916666666667,0.712999337696435,2,0.504166666666666
"21",2,"F2","PU",7.60333333333333,0.714177848998412,2,0.504999999999999
"22",2,"F5","CT",18.6555555555556,4.2087981041482,3,2.42995071839475
"23",2,"F5","PR",9.365,1.9027414432865,3,1.09854828447972
"24",2,"F5","PU",11.2305555555556,1.1685203527602,3,0.674645540219656
"25",3,"CT","CT",14.9126984126984,1.74319755544492,3,1.00643557788682
"26",3,"CT","PR",8.97777777777778,1.84591014387463,3,1.06573671846588
"27",3,"CT","PU",8.53722222222222,0.753853679682186,3,0.4352376248941
"28",3,"F10","CT",20.3816666666667,1.71897336932381,3,0.992449737508899
"29",3,"F10","PR",10.9833333333333,1.48835759592019,3,0.859303658654947
"30",3,"F10","PU",11.1138888888889,1.64975447106981,3,0.952486187968941
"31",3,"F2","CT",16.5041666666667,0.359445947103161,2,0.254166666666666
"32",3,"F2","PR",8.94583333333333,0.159099025766974,2,0.112500000000001
"33",3,"F2","PU",7.7875,0.394801286162489,2,0.279166666666667
"34",3,"F5","CT",18.7333333333333,2.69505720409295,3,1.55599200226451
"35",3,"F5","PR",10.1472222222222,1.71574273950035,3,0.99058453251067
"36",3,"F5","PU",12.3611111111111,0.583650707314014,3,0.336970892980462
"37",4,"CT","CT",15.1666666666667,0.531964388950155,3,0.307129783159667
"38",4,"CT","PR",9.14444444444444,2.47706610357525,3,1.43013478169967
"39",4,"CT","PU",9.76666666666667,1.7791032385259,3,1.02716573367906
"40",4,"F10","CT",20.8361111111111,3.43794525735832,3,1.98489861979503
"41",4,"F10","PR",10.3680555555556,2.11787339836013,3,1.22275477665277
"42",4,"F10","PU",11.3472222222222,1.41073102930255,3,0.814485939521987
"43",4,"F2","CT",16.6875,0.50086730334047,2,0.354166666666666
"44",4,"F2","PR",9.425,0.106066017177982,2,0.0750000000000002
"45",4,"F2","PU",8.47916666666667,0.147313912747197,2,0.104166666666666
"46",4,"F5","CT",17.6111111111111,4.52027326279843,3,2.60978098508734
"47",4,"F5","PR",10.7916666666667,1.7113793981594,3,0.988065356212912
"48",4,"F5","PU",14.2222222222222,2.02687384723189,3,1.17021616131274
"49",5,"CT","CT",11.6805555555556,0.359236587677155,3,0.207405340598168
"50",5,"CT","PR",10.3472222222222,0.959540302745327,3,0.55399085208831
"51",5,"CT","PU",10.0972222222222,1.12602833659496,3,0.650112763248247
"52",5,"F10","CT",14.9361111111111,5.01692505794506,3,2.89652303270876
"53",5,"F10","PR",10.4166666666667,1.94900259392108,3,1.12525717225162
"54",5,"F10","PU",11.5277777777778,2.29935578739721,3,1.3275336828165
"55",5,"F2","CT",12.6666666666667,1.53206469257085,2,1.08333333333333
"56",5,"F2","PR",11.1041666666667,0.265165042944955,2,0.1875
"57",5,"F2","PU",8.5625,0.147313912747197,2,0.104166666666666
"58",5,"F5","CT",14.55,2.64893846663149,3,1.52936533677645
"59",5,"F5","PR",10.0416666666667,1.6462288554282,3,0.950450672829201
"60",5,"F5","PU",11.0833333333333,0.86099909665716,3,0.497098060227036
"61",6,"CT","CT",12.4972222222222,0.862221506299817,3,0.497803818763284
"62",6,"CT","PR",4.8,0.876110406538151,3,0.505822579054634
"63",6,"CT","PU",10.4277777777778,1.2394088345898,3,0.715573024286424
"64",6,"F10","CT",14.5616666666667,6.95211538550198,3,4.01380568925691
"65",6,"F10","PR",6.22222222222222,1.70035399364477,3,0.981699835948461
"66",6,"F10","PU",12.4472222222222,2.38223070842187,3,1.37538154077916
